batch_id,active_learning_rank,selection_reason,tfidf_probability,transformer_probability,hybrid_probability,model_disagreement,boundary_uncertainty,ranking_score,report_id,source,report_type,timestamp,site,location,department,activity,asset,description,unsafe_act,unsafe_condition,near_miss,hi_po,hazards,exposure,potential_consequences,barriers,barrier_status,life_saving_rules,actual_outcome,potential_accident_level,source_gender,source_actor_type,annotation_status,sif_potential,sif_reason,evidence_text,hazard_notes,exposure_notes,consequence_notes,barrier_notes,annotator_confidence,annotation_version,annotation_round,annotator_id,annotated_at_utc
active_learning_batch_01,1,Strong model disagreement,0.5006184658908258,0.7162032451658529,0.6084108555283394,0.215584779275027,0.7831782889433212,0.7561219201377958,industrial_safety_000364,industrial_safety_analytics_database,incident,2017-03-09T00:00:00,Country_01,Local_03,Mining,,,"At Level 3970 (Before -100) When the F6M 801 license plate went from level 3570 to surface, when the pilot trying to locate his radio to answer a call from the concrete plant is distracted and crashes his vehicle against the left gable and the vehicle turns to the right side. When this happens, the copilot hits his right hand against a fragment of broken glass in the window on the right side of the vehicle.",,,,,['Vehicles and Mobile Equipment'],[],[],[],[],[],I,V,Male,Third Party,pending,,,,,,,,,v0.3,active_learning_01,,
active_learning_batch_01,14,Strong model disagreement,0.537141749544627,0.7419460100975915,0.6395438798211093,0.2048042605529645,0.7209122403577815,0.6535404295108549,industrial_safety_000239,industrial_safety_analytics_database,incident,2016-09-29T00:00:00,Country_01,Local_04,Mining,,,"Being 05:30 am. Approximately Marco and Isidro TORRES they were performing the pipe standardization of the CX 771 / CX-983 Nv. 1940; in moments that Marco lifts the air pipe over the spike, this seat and the pipe impacts on the worker's safety guard.",,,,,['Others'],[],[],[],[],[],I,II,Male,Third Party,pending,,,,,,,,,v0.3,active_learning_01,,
active_learning_batch_01,16,High combined uncertainty,0.5320798365139081,0.7280927538660311,0.6300862951899696,0.196012917352123,0.7398274096200608,0.6483191087117002,industrial_safety_000426,industrial_safety_analytics_database,incident,2017-06-20T00:00:00,Country_01,Local_01,Mining,,,"In circumstance, the AHK-903 license plate (Empresa which serves the supervision of CMA, carried out the field inspections in the upper bank 4288, when unexpectedly when climbing through the operational access (positive ramp), It slides in an excavated area of ​​approximately 3 meters high, remaining in position with the front part on the floor. The occupants of the vehicle made use of the safety belt and all the complete epps.",,,,,['Others'],[],[],[],[],[],I,IV,Male,Employee,pending,,,,,,,,,v0.3,active_learning_01,,
active_learning_batch_01,4,TF-IDF YES / Transformer NO disagreement,0.5042532503781372,0.3144920026622052,0.4093726265201712,0.1897612477159319,0.8187452530403424,0.718283328936602,industrial_safety_000210,industrial_safety_analytics_database,incident,2016-08-24T00:00:00,Country_02,Local_05,Metals,,,"The servant would remove the dishes from the bowl of the sink and when picking up a set of plates, there was one of them with the broken / broken edge, causing injury to his 3rd chiropactyl from his right hand.",,,,,['Cut'],[],[],[],[],[],I,II,Male,Employee,pending,,,,,,,,,v0.3,active_learning_01,,
active_learning_batch_01,18,High combined uncertainty,0.5189075868341025,0.6931087337933235,0.6060081603137131,0.1742011469592209,0.7879836793725739,0.6367453666950895,industrial_safety_000259,industrial_safety_analytics_database,incident,2016-10-27T00:00:00,Country_01,Local_03,Mining,,,"At a time when the heavy equipment operator got on the equipment to check the right front headlight (defective) of the scooptram # 181, position on the rim position # 2 his left leg which slides, causing the heavy equipment operator to fall from a height of 0.60 cm",,,,,['Others'],[],[],[],[],[],I,IV,Male,Employee,pending,,,,,,,,,v0.3,active_learning_01,,
active_learning_batch_01,71,High combined uncertainty,0.5685463528861895,0.742571557811863,0.6555589553490262,0.1740252049256735,0.6888820893019476,0.5246848901388671,industrial_safety_000136,industrial_safety_analytics_database,incident,2016-05-22T00:00:00,Country_01,Local_03,Mining,,,"During the transit of the fuel tanker of level 3530 at level 2925 by the north ramp; When passing through level 3140 the operator feels that the right rear tire skids and when the operator performs a defensive maneuver the truck hits the left gable causing the injury described. At the time of the accident, the pilot and co-pilot were wearing a safety belt, their safety glasses and helmet.",,,,,['Others'],[],[],[],[],[],I,IV,Male,Third Party,pending,,,,,,,,,v0.3,active_learning_01,,
active_learning_batch_01,48,High combined uncertainty,0.5541046369943758,0.7271510195543608,0.6406278282743683,0.1730463825599849,0.7187443434512635,0.5553407249279687,industrial_safety_000373,industrial_safety_analytics_database,incident,2017-03-25T00:00:00,Country_01,Local_03,Mining,,,"When the Mixer 01 of the E.C.M INCIMMET S.A, moved by the positive south ramp, with direction to surface (Unicon concrete plant), at the height of the 3630 (Before 440), the operator observes that untimely lights and the engine go off, the control controls do not respond and the equipment starts to reverse. At 3 meters the operator jumps out of the cabin and at 20 meters the team hits the right gable and turns to its side left. In the area, in the circumstances of the event there was no presence of personnel or equipment that could have been affected.",,,,,['Vehicles and Mobile Equipment'],[],[],[],[],[],II,V,Male,Third Party,pending,,,,,,,,,v0.3,active_learning_01,,
active_learning_batch_01,10,TF-IDF YES / Transformer NO disagreement,0.5005704979503199,0.3322233462896287,0.4163969221199743,0.1683471516606912,0.8327938442399486,0.6695235645228172,industrial_safety_000197,industrial_safety_analytics_database,incident,2016-08-01T00:00:00,Country_02,Local_05,Metals,,,The employee of partner company GR reports that she was cutting watermelon when she injured her 2nd chirodactilo of the left hand with the knife.,,,,,['Manual Tools'],[],[],[],[],[],II,III,Female,Third Party,pending,,,,,,,,,v0.3,active_learning_01,,
active_learning_batch_01,52,High combined uncertainty,0.5512215272334919,0.715997884329654,0.633609705781573,0.1647763570961621,0.7327805884368539,0.5462005481563141,industrial_safety_000323,industrial_safety_analytics_database,incident,2017-01-29T00:00:00,Country_01,Local_01,Mining,,,"In circumstances that the tipper MV-01 of the EE Mceisa, moved of the Nv. 3120 to Nv. 3300, the operator sees a congestion of equipment in front of his unit in the Ramp 990 - at a distance of 80 meters. of access to the Nv. 3300, which is why he decides to get off the cab by turning off his vehicle, when suddenly he slides off the second rung that is 0.70 m from the ground, hitting the right forearm region against the fender and the same rung.",,,,,['Vehicles and Mobile Equipment'],[],[],[],[],[],I,III,Male,Third Party,pending,,,,,,,,,v0.3,active_learning_01,,
active_learning_batch_01,33,High combined uncertainty,0.5171260941851413,0.6681192707093411,0.5926226824472411,0.1509931765241997,0.8147546351055177,0.5968943910589661,industrial_safety_000420,industrial_safety_analytics_database,incident,2017-06-11T00:00:00,Country_01,Local_01,Mining,,,"In circumstances that the driver of the plate truck W5K-915 of the E.E. IMPROMEC, went from the garit plant chicrin to Nv.3420, after entering an internal mine in the area of ​​Santa where 200 m. approx. from the old dining room, stops the vehicle and informs the co-pilot that he can no longer drive, for which he turns off the vehicle and when trying to get off the van loses his balance and falls on his own seat, complaining intense pain in the lumbar area, citing pain due to overexertion due to routine activity (evacuation of residual oil and solid waste cylinders) that they previously performed. The collaborator at the time of the event used their corresponding EPPS.",,,,,['Others'],[],[],[],[],[],I,IV,Male,Third Party,pending,,,,,,,,,v0.3,active_learning_01,,
