report_id,description,sif_label,split,sif_precursor_probability,precursor_evidence_count,barrier_evidence_count,lsr_candidate_count,top_precursor_mechanisms,barrier_signals,lsr_candidates,probability,true_yes,precursor,barrier,lsr,lsr_rows,flag_no_precursor_evidence,flag_high_score_no_precursor,flag_lsr_without_lsr_evidence,flag_barrier_without_barrier_evidence,flag_high_score_label_no,flag_low_score_label_yes,review_score
industrial_safety_000384,"In the tower N ° 6 of the old 50 KV LT (disabled and de-energized and 90% dismantled) located in the city of Pasco, the last profiles of the base of the tower previously disassembled were cut, using oxyfuel equipment , at 11:45 am, the Proingcom security supervisor and the foreman, who were on the outside of the fenced area supervising the activity, indicate the stoppage of activities and evacuation to the refuge due to the orange alert indicated on the detector of storms. During the evacuation of the last 02 employees who were inside the fenced area, a loud sound was heard, provoking a fright, which caused the staff to throw themselves to the floor inside the area, then proceeded to leave the work area by his own means through the ladder. Apparently the loud sound would correspond to an electrical discharge in the cable guard that passes over the old towers.",YES,test,0.9867825907616966,3,0,2,Electrical energy | Fall from height,,Isolation | Work at Height,0.9867825907616966,1,3,0,2,2,False,False,False,False,False,False,1.0667825907616966
industrial_safety_000422,"The convoy of the locomotive 15 operated by Mr. Tito is located in hopper OP2 positioning the 1st car under the hopper, the assistant does not observe anything out of the ordinary (dry load there is no presence of water) and initiates the chute, for this, the hydraulic module of the hopper is switched on and with the controls it slightly moves the hopper handle and an untimely flow of water and mud splashes the operator generating the described injury, in addition the collaborator was 7 meters from the line of fire",YES,test,0.99293809666487,2,0,2,Fire / explosion energy | Line-of-fire exposure,,Line of Fire | Safe Mechanical Lifting,0.99293809666487,1,2,0,2,2,False,False,False,False,False,False,1.05293809666487
industrial_safety_000314,"At 15:05 hours, Mr. Cesar Tello-MOINSAC, was carrying out the work of assembling the water line, for that he climbs up the cat ladder and at an approximate height of 2.5 meters he vanishes and falls, hitting himself on the way, being transferred to the medical center for his attention.",YES,test,0.991116678881494,1,0,1,Fall from height,,Work at Height,0.991116678881494,1,1,0,1,1,False,False,False,False,False,False,1.021116678881494
industrial_safety_000382,"Employee to perform painting of the floor of the fuel tank area, he needed cleaning, and by pouring water-thinner on the floor, the bucket slipped out of his hand and the mixture projected onto his left shoulder and lower lip, causing redness and burning.",NO,test,0.9863461091910516,0,0,1,,,Confined Space,0.9863461091910516,0,0,0,1,1,True,True,False,False,True,False,0.9963461091910516
industrial_safety_000426,"In circumstance, the AHK-903 license plate (Empresa which serves the supervision of CMA, carried out the field inspections in the upper bank 4288, when unexpectedly when climbing through the operational access (positive ramp), It slides in an excavated area of ​​approximately 3 meters high, remaining in position with the front part on the floor. The occupants of the vehicle made use of the safety belt and all the complete epps.",YES,test,0.8828214864661822,2,0,1,Vehicle interaction,,Driving,0.8828214864661822,1,2,0,1,1,False,False,False,False,False,False,0.9328214864661822
industrial_safety_000166,"At approximately 5:45 pm, the operator Paulo (operator of the filters) informed the autoclave operator via radio of a leak on the side of the scruber. The autoclave III feed was stopped by the control and officials Georli and Renato initiated the procedures for closing the autoclave transfer valve for flash TQs. Soon after, there was a break in the chicken, projecting pulp hot and reaching three employees who were inside the room near the equipment.",YES,test,0.8641740868801234,2,0,0,Chemical / hazardous release | Thermal energy,,,0.8641740868801234,1,2,0,0,0,False,False,False,False,False,False,0.9041740868801235
industrial_safety_000389,"In moments that Mr. William carried out the inspection of the cut of the Block 781 Level 1850 OB6A, so that the loading platform could be realized, in instants that observed the drills positive radial ones that were covered and shotcreteados, he hears a noise from the upper part of the pit (detachments of banks at the center of the pit), to which Mr. William goes back to leave work, but his metatarsal boots makes contact with a rock that was on the floor which causes it to lose balance and stumble on the gable.",YES,test,0.8664508900505058,1,0,1,Fall from height,,Work at Height,0.8664508900505058,1,1,0,1,1,False,False,False,False,False,False,0.8964508900505058
industrial_safety_000370,"During the preparation for the solubilization activity of the sample in the chapel, the maid when moving the vial of nitric acid, the same detached from the doser, causing projection in the region of the face and upper limbs.",YES,test,0.8714489612642562,1,0,0,Chemical / hazardous release,,,0.8714489612642562,1,1,0,0,0,False,False,False,False,False,False,0.8914489612642562
industrial_safety_000403,"When performing shotcrete casting for resane on Cruise 791 Nv. 1940 at 02:50 p.m. approximately, the operator was placed on the left side of the equipment and started the release of 02 cubic meters, at that time decided to paralyze the task for a few minutes due to a leak of water in the roof box that did not allow the adhesion of the shotcrete to the rock (setting). When restarting the shotcrete launch the operator that was on the left side moved to the right side of the equipment, while the assistant and the operator mixkret to see that there was no pumping went to verify what happened and when they returned they realized that the operator was not, so they assume that he had fallen down the chimney, they left the job to ask for help immediately. The emergency response brigade and the medical service are activated, who verify the death of the collaborator. The accident investigation begins.",YES,test,0.8639438692414778,1,0,0,Chemical / hazardous release,,,0.8639438692414778,1,1,0,0,0,False,False,False,False,False,False,0.8839438692414778
industrial_safety_000190,"The employee reports that he was draining ammonia, used as a refrigerant, into a container of water when splashes of the solution drained onto his face.",NO,test,0.8211097984937358,1,0,1,Chemical / hazardous release,,Chemical Exposure,0.8211097984937358,0,1,0,1,1,False,False,False,False,True,False,0.8511097984937358
industrial_safety_000140,"When checking voltage at the power outlet of the the plug and socket to make sure the connection was correct, when there was a small electrical arc in the power cord, causing a slight burn in the right hand wrist. The protection system acted immediately.",YES,test,0.7670891387019364,1,0,0,Electrical energy,,,0.7670891387019364,1,1,0,0,0,False,False,False,False,False,False,0.7870891387019364
